"n","k","time"
"50000","5","0.003532499998807907"
"50000","5","0.0036844999995082617"
"50000","5","0.0035506999995559454"
"50000","10","0.0041774000003933906"
"50000","10","0.004000099999830127"
"50000","10","0.0034489000011235474"
"50000","10","0.0033514999989420176"
"50000","10","0.0036563999988138674"
"50000","50","0.0036151999998837708"
"50000","50","0.0038561000004410746"
"50000","50","0.003412500001490116"
"50000","50","0.003481600001454353"
"50000","50","0.00377930000051856"
"50000","100","0.0033486999999731777"
"50000","100","0.0036243000011891126"
"50000","100","0.0037203000001609326"
"50000","100","0.0033826999999582766"
"50000","100","0.003799600001424551"
"50000","1000","0.0034043000005185603"
"50000","1000","0.0033695999998599293"
"50000","1000","0.003417099999263883"
"50000","1000","0.0033673000000417233"
"50000","1000","0.0039287000000476835"
"100000","5","0.007255000000819564"
"100000","5","0.007706299999728799"
"100000","5","0.00720189999975264"
"100000","5","0.0073599000014364716"
"100000","5","0.0069454999994486575"
"100000","10","0.007343100000172854"
"100000","10","0.006914499999955297"
"100000","10","0.007230900000780821"
"100000","10","0.007317699998617172"
"100000","10","0.007387000000104308"
"100000","50","0.007799599999561906"
"100000","50","0.007686400000005961"
"100000","50","0.0069112999998033045"
"100000","50","0.007067099999636411"
"100000","50","0.007182300001382828"
"100000","100","0.007731300000101328"
"100000","100","0.007640499999746681"
"100000","100","0.00897440000064671"
"100000","100","0.011454499999061226"
"100000","100","0.009407300001010298"
"100000","1000","0.0222231999989599"
"100000","1000","0.008312000000849366"
"100000","1000","0.008170300001278519"
"100000","1000","0.009323100000619889"
"100000","1000","0.009328299999237061"
"500000","5","0.044708599999547"
"500000","5","0.04302400000020862"
"500000","5","0.03955450000055134"
"500000","5","0.04100820000097156"
"500000","5","0.04093280000053346"
"500000","10","0.03973630000092089"
"500000","10","0.04040199999883771"
"500000","10","0.039042099999263884"
"500000","10","0.04165110000036657"
"500000","10","0.03952510000020266"
"500000","50","0.039859899999573824"
"500000","50","0.04022819999977946"
"500000","50","0.03969019999913871"
"500000","50","0.04032320000045002"
"500000","50","0.03954530000127852"
"500000","100","0.040367000000551344"
"500000","100","0.038961600000038746"
"500000","100","0.042581800000742076"
"500000","100","0.040883799999952314"
"500000","100","0.04034370000101626"
"500000","1000","0.04043649999983609"
"500000","1000","0.041849400000646714"
"500000","1000","0.04016620000079274"
"500000","1000","0.039575799999758604"
"500000","1000","0.03944219999946654"
"1000000","5","0.08156979999877513"
"1000000","5","0.08757399999909103"
"1000000","5","0.08191940000094473"
"1000000","5","0.08271329999901354"
"1000000","5","0.0817843999993056"
"1000000","10","0.08169640000164509"
"1000000","10","0.0813957000002265"
"1000000","10","0.08117170000076294"
"1000000","10","0.08126260000094772"
