"n","k","time"
"500000","1000","0.0018238000012934209"
"500000","1000","0.002445600001141429"
"500000","1000","0.0016845000013709069"
"1000000","5","0.0068114999998360876"
"1000000","5","0.007150200000032783"
"1000000","5","0.007930599998682737"
"1000000","5","0.007501899998635053"
"1000000","5","0.007237499998882413"
"1000000","10","0.008040100000798703"
"1000000","10","0.006778799999505282"
"1000000","10","0.006896399999037385"
"1000000","10","0.007283900000154972"
"1000000","10","0.006957799999043345"
"1000000","50","0.007601499998942018"
"1000000","50","0.007607300000265241"
"1000000","50","0.007623800000175833"
"1000000","50","0.007866799999028444"
"1000000","50","0.006966599998995662"
"1000000","100","0.007128599999472499"
"1000000","100","0.007277100000530481"
"1000000","100","0.007562400000169873"
"1000000","100","0.007173200000077486"
"1000000","100","0.007822200000286102"
"1000000","1000","0.006812899999320507"
"1000000","1000","0.010818399999290705"
"1000000","1000","0.007491499999538064"
"1000000","1000","0.006851200001314282"
"1000000","1000","0.007599300000816584"
"5000000","5","0.02653459999896586"
"5000000","5","0.021335400000214576"
"5000000","5","0.02179780000075698"
"5000000","5","0.01946849999949336"
"5000000","5","0.020469600001350046"
"5000000","10","0.021731699999421834"
"5000000","10","0.0207140999995172"
"5000000","10","0.020210900001227855"
"5000000","10","0.02158259999938309"
"5000000","10","0.029291400000452994"
"5000000","50","0.022181199999526145"
"5000000","50","0.021665400000289083"
"5000000","50","0.022199200000613928"
"5000000","50","0.02035359999909997"
"5000000","50","0.02094950000010431"
"5000000","100","0.019776200000196694"
"5000000","100","0.021256300000473856"
"5000000","100","0.019899000000208618"
"5000000","100","0.02170810000039637"
"5000000","100","0.021997999999672176"
"5000000","1000","0.0199037000015378"
"5000000","1000","0.020753699999302627"
"5000000","1000","0.02011430000141263"
"5000000","1000","0.02197120000049472"
"5000000","1000","0.02136849999986589"
"10000000","5","0.012128800000995397"
"10000000","5","0.012573899999260903"
"10000000","5","0.011313500000163913"
"10000000","5","0.011502100000157953"
"10000000","5","0.01149070000089705"
"10000000","10","0.01179509999975562"
"10000000","10","0.011206700000911951"
"10000000","10","0.013626900000497698"
"10000000","10","0.013147400001063942"
"10000000","10","0.012174899999052287"
"10000000","50","0.01248420000076294"
"10000000","50","0.011077999999746681"
"10000000","50","0.012543999999761581"
"10000000","50","0.010995700001716614"
"10000000","50","0.012210500000044703"
"10000000","100","0.01263939999975264"
"10000000","100","0.011278500000014902"
"10000000","100","0.01166730000078678"
"10000000","100","0.011415500000119209"
"10000000","100","0.012619699999690056"
"10000000","1000","0.0119679000005126"
"10000000","1000","0.011753799999132753"
"10000000","1000","0.011974799999967218"
"10000000","1000","0.0124507999997586"
"10000000","1000","0.012806199999526143"
"20000000","5","0.15452160000056028"
"20000000","5","0.13529440000094473"
"20000000","5","0.13610190000012518"
"20000000","5","0.16556439999863506"
"20000000","5","0.13995229999907316"
"20000000","10","0.14049530000053345"
"20000000","10","0.14241940000094475"
"20000000","10","0.1391644999999553"
"20000000","10","0.1450060000009835"
"20000000","10","0.14456669999845326"
"20000000","50","0.1385793999992311"
"20000000","50","0.13782599999941886"
"20000000","50","0.13966740000061692"
"20000000","50","0.13752180000022055"
"20000000","50","0.13678340000100433"
"20000000","100","0.13962879999913275"
"20000000","100","0.15299109999835492"
"20000000","100","0.1345006999988109"
"20000000","100","0.13956940000131726"
"20000000","100","0.14112969999946653"
"20000000","1000","0.14057660000026226"
"20000000","1000","0.14247939999960363"
"20000000","1000","0.13619309999980034"
"20000000","1000","0.1407762000001967"
"20000000","1000","0.14556220000050962"
"50000000","5","0.27003530000150205"
"50000000","5","0.2712045000009239"
"50000000","5","0.27671759999915957"
"50000000","5","0.28269700000062586"
"50000000","5","0.2852366000004113"
"50000000","10","0.3027619000002742"
"50000000","10","0.2674243000000715"
"50000000","10","0.27580819999985395"
"50000000","10","0.26666889999993143"
"50000000","10","0.2689642999991775"
"50000000","50","0.28747819999977947"
"50000000","50","0.3065122999995947"
"50000000","50","0.27048049999959767"
"50000000","50","0.2788934000004083"
"50000000","50","0.27448249999992547"
"50000000","100","0.2654015999995172"
"50000000","100","0.28925499999895693"
"50000000","100","0.26665689999982717"
"50000000","100","0.28753600000217555"
"50000000","100","0.2942866999991238"
"50000000","1000","0.2748695000000298"
"50000000","1000","0.2757146000005305"
"50000000","1000","0.2821365000009537"
"50000000","1000","0.278548299998045"
"50000000","1000","0.2724613999985158"
