"n","k","time"
"500000","50","0.10276530000008642"
"500000","50","0.09711299999989569"
"500000","50","0.09457650000043213"
"500000","50","0.09429189999960363"
"500000","100","0.09718070000037551"
"500000","100","0.09485520000010729"
"500000","100","0.12285290000028909"
"500000","100","0.10401789999939501"
"500000","100","0.09854210000112652"
"500000","1000","0.1033316999990493"
"500000","1000","0.12041210000030697"
"500000","1000","0.0983477999996394"
"500000","1000","0.09988500000163912"
"500000","1000","0.09930080000124872"
"1000000","5","0.20427749999985098"
"1000000","5","0.21160669999942183"
"1000000","5","0.2005427000001073"
"1000000","5","0.20285890000127255"
"1000000","5","0.1977853999994695"
"1000000","10","0.2026687000002712"
"1000000","10","0.20897690000012517"
"1000000","10","0.20243820000067353"
"1000000","10","0.19899299999885262"
"1000000","10","0.21895879999920725"
"1000000","50","0.2035424000006169"
"1000000","50","0.19896759999915958"
"1000000","50","0.20489660000056029"
"1000000","50","0.20488009999878704"
"1000000","50","0.2005343999993056"
"1000000","100","0.20721910000033678"
"1000000","100","0.20146920000016688"
"1000000","100","0.20802810000069438"
"1000000","100","0.20238370000012218"
"1000000","100","0.20173469999991359"
"1000000","1000","0.2001570999994874"
"1000000","1000","0.19922350000031291"
"1000000","1000","0.20055770000070333"
"1000000","1000","0.203604699999094"
"1000000","1000","0.20669189999997617"
"5000000","5","1.191559200000018"
"5000000","5","1.1730957999993115"
"5000000","5","1.1334399999994784"
"5000000","5","1.1399334999993445"
"5000000","5","1.141470499999821"
"5000000","10","1.1747933000009507"
"5000000","10","1.1544882999993862"
"5000000","10","1.1440852000005544"
"5000000","10","1.147232999999076"
"5000000","10","1.1648728999998421"
"5000000","50","1.21953579999879"
"5000000","50","1.2264704999998213"
"5000000","50","1.217522099999711"
"5000000","50","1.1829527000002562"
"5000000","50","1.1842346999999136"
"5000000","100","1.1572716000005603"
"5000000","100","1.1555022999998181"
"5000000","100","1.1473321000002326"
"5000000","100","1.197640000000596"
"5000000","100","1.1338389999996872"
"5000000","1000","1.143243499999866"
"5000000","1000","1.182709900001064"
"5000000","1000","1.1369894999992103"
"5000000","1000","1.1387335000000893"
"5000000","1000","1.1543973000012338"
"10000000","5","2.4519572000000625"
"10000000","5","2.4367301000002772"
"10000000","5","2.4295544999986887"
"10000000","5","2.4128057000003755"
"10000000","5","2.50202150000073"
"10000000","10","2.430183299999684"
"10000000","10","2.398652699999511"
"10000000","10","2.410251099999994"
"10000000","10","2.511486199999228"
"10000000","10","2.47148929999955"
"10000000","50","2.524506900001317"
"10000000","50","2.409904000001028"
"10000000","50","2.462629399999976"
"10000000","50","2.4484805000014602"
"10000000","50","2.471643000001088"
"10000000","100","2.3981500000003724"
"10000000","100","2.54988560000062"
"10000000","100","2.3948723999988286"
"10000000","100","2.401256900001317"
"10000000","100","2.4469298000000417"
"10000000","1000","2.485187700001523"
"10000000","1000","2.381786900000647"
"10000000","1000","2.390710500000045"
"10000000","1000","2.5110632000006734"
"10000000","1000","2.619965400001034"
"20000000","5","5.347060900000855"
"20000000","5","5.334452000001446"
"20000000","5","5.139651000000536"
"20000000","5","5.289030100001022"
"20000000","5","5.174343900000676"
"20000000","10","5.272361600000411"
"20000000","10","5.175700400000438"
"20000000","10","5.2309913999997075"
"20000000","10","5.31163020000048"
"20000000","10","5.286513100000098"
"20000000","50","5.146835199998692"
"20000000","50","5.291572300000116"
"20000000","50","5.238831900000572"
"20000000","50","5.218246799999848"
"20000000","50","5.137212400000543"
"20000000","100","5.258226500000805"
"20000000","100","5.378414799999446"
"20000000","100","5.213872800000012"
"20000000","100","5.130844599999487"
"20000000","100","5.224804400000721"
"20000000","1000","5.190179099999368"
